ZONE,Cu,Au,Cu_SK,Au_SK
2.0,0.737,3.164,0.62269604,3.00300554
2.0,0.737,3.164,0.66798852,3.13867653
2.0,0.737,3.164,0.690072,3.1624121
2.0,0.737,3.164,0.69637438,3.16581677
2.0,0.737,3.165,0.6890665,3.15643682
2.0,0.737,3.165,0.66552864,3.11779596
2.0,0.738,3.166,0.61758715,2.89215391
2.0,0.738,3.166,0.52952207,1.60825418
2.0,0.281,0.047,0.54779108,1.60863045
2.0,0.281,0.047,0.47943971,0.32567196
2.0,0.281,0.047,0.47781334,0.10773621
2.0,0.281,0.047,0.54232043,0.1125413
2.0,0.281,0.047,0.6949178,0.35841986
2.0,0.959,0.66,0.72500658,0.35925649
2.0,1.143,0.66,0.86711856,0.62297535
2.0,1.143,0.66,0.9874877,0.73251159
2.0,1.143,0.818,1.05541049,0.74066345
2.0,1.143,0.819,1.09396034,0.80710812
2.0,1.144,0.819,1.11566905,0.81917768
2.0,1.144,0.819,1.12820946,0.82127742
2.0,1.144,0.819,1.13544392,0.82162656
2.0,1.145,0.819,1.13942034,0.82137597
2.0,1.145,0.819,1.14186596,0.82180558
2.0,1.145,0.819,1.14209011,0.82482577
2.0,1.145,0.82,1.14276562,0.84284439
2.0,1.146,0.82,1.14257239,0.94655415
2.0,1.147,0.82,1.14195741,1.53627714
2.0,1.144,2.309,1.14192992,1.40852995
2.0,1.145,2.309,1.14049377,1.29933629
2.0,1.141,0.556,1.14066364,1.40585716
2.0,1.141,0.556,1.14064646,0.70437207
2.0,1.142,0.556,1.14119531,0.58091554
2.0,1.142,0.557,1.14354392,0.55847547
2.0,1.142,0.557,1.14894704,0.55472322
2.0,1.143,0.557,1.15853126,0.55571862
2.0,1.143,0.557,1.1755876,0.56557902
2.0,1.143,0.557,1.20666246,0.6215462
2.0,1.285,0.687,1.20693246,0.62723429
2.0,1.285,0.687,1.23793856,0.70891945
,,,,
,,,,
2.0,0.824,8.734,0.80942176,8.15147947
2.0,0.824,8.742,0.81675461,8.63255182
2.0,0.824,8.744,0.82169333,8.7240137
2.0,0.824,8.753,0.8258921,8.7407772
2.0,0.824,8.754,0.83076201,8.74836096
2.0,0.824,8.755,0.83798011,8.7535791
2.0,0.824,8.763,0.84981408,8.75644938
2.0,0.824,8.771,0.87040114,8.75382132
2.0,0.824,8.773,0.90663617,8.71861767
2.0,0.825,8.776,0.9701449,8.4906876
2.0,0.825,8.78,1.08286188,7.17895346
2.0,1.341,5.59,1.08320107,7.18135858
2.0,1.341,5.591,1.19599013,5.86842611
2.0,1.342,5.591,1.25963736,5.63874381
2.0,1.342,5.593,1.2962478,5.59818949
2.0,1.343,5.593,1.31727862,5.59201273
2.0,1.343,5.593,1.32996249,5.59136877
2.0,1.343,5.594,1.33835878,5.59132071
2.0,1.344,5.594,1.34489008,5.59237547
2.0,1.344,5.595,1.35225619,5.5934388
2.0,1.344,5.598,1.36262653,5.59220072
2.0,1.344,5.599,1.37942344,5.57868596
2.0,1.344,5.6,1.40827909,5.50879114
2.0,1.345,5.6,1.45848468,5.10757831
